Train_Number,Leg_OD,Leg_ID,Date,Total_Capacity,Total_Utilised,Occupancy,Total_Packs,Packs_Used,Unassigned_Containers,Unassigned_Length
3MB5,ETT-SFT,2,2025-02-04,580.3392,554.736,0.9558823529411764,13,13,20,121.92
3MB5,ETT-SFT,2,2025-02-11,580.3392,571.8047999999999,0.9852941176470587,13,13,46,280.416
3MB5,ETT-SFT,2,2025-02-25,580.3392,546.2016,0.9411764705882353,13,13,32,195.072
3MB5,ETT-SFT,2,2025-03-11,580.3392,552.2975999999999,0.9516806722689073,13,13,22,134.112
3MB5,ETT-SFT,2,2025-03-18,580.3392,566.9279999999999,0.9768907563025208,13,13,12,73.152
3MB5,ETT-SFT,2,2025-03-25,580.3392,562.0512,0.9684873949579832,13,13,37,331.3176
3MB5,ETT-SFT,2,2025-04-01,580.3392,552.2975999999999,0.9516806722689073,13,13,63,384.048
3MB5,ETT-SFT,2,2025-05-06,580.3392,347.47200000000004,0.5987394957983194,13,6,0,0.0
3MB5,ETT-SFT,2,2025-08-05,580.3392,475.48799999999994,0.8193277310924368,13,11,0,0.0
3MB5,ETT-SFT,2,2025-08-12,580.3392,541.3247999999999,0.9327731092436973,13,13,27,164.592
3MB5,ETT-SFT,2,2025-09-02,580.3392,549.2495999999999,0.9464285714285712,13,13,42,256.03200000000004
3MB5,ETT-SFT,2,2025-09-09,580.3392,541.3247999999999,0.9327731092436973,13,13,12,73.152
3MB5,ETT-SFT,2,2025-09-16,580.3392,539.496,0.9296218487394957,13,13,42,256.03200000000004
3MB5,ETT-SFT,2,2025-09-23,580.3392,553.5167999999999,0.9537815126050418,13,13,12,73.152
3MB5,ETT-SFT,2,2025-10-07,580.3392,563.2703999999999,0.9705882352941174,13,13,158,1139.952
3MB5,SFT-BFT,3,2025-02-04,273.1008,268.224,0.9821428571428571,4,4,55,408.432
3MB5,SFT-BFT,3,2025-02-11,273.1008,273.1008,1.0,4,4,77,579.12
3MB5,SFT-BFT,3,2025-02-25,273.1008,259.6896,0.9508928571428571,4,4,66,481.584
3MB5,SFT-BFT,3,2025-03-11,273.1008,259.6896,0.9508928571428571,4,4,59,426.72
3MB5,SFT-BFT,3,2025-03-18,273.1008,273.1008,1.0,4,4,46,366.9792
3MB5,SFT-BFT,3,2025-03-25,273.1008,273.1008,1.0,4,4,61,620.268
3MB5,SFT-BFT,3,2025-04-01,273.1008,259.6896,0.9508928571428571,4,4,102,676.6560000000001
3MB5,SFT-BFT,3,2025-05-06,273.1008,243.84,0.8928571428571429,4,4,17,103.632
3MB5,SFT-BFT,3,2025-08-05,273.1008,243.84,0.8928571428571429,4,4,38,231.64800000000002
3MB5,SFT-BFT,3,2025-08-12,273.1008,248.7168,0.9107142857142858,4,4,75,457.20000000000005
3MB5,SFT-BFT,3,2025-09-02,273.1008,256.6416,0.9397321428571428,4,4,90,548.64
3MB5,SFT-BFT,3,2025-09-09,273.1008,248.7168,0.9107142857142858,4,4,60,365.76
3MB5,SFT-BFT,3,2025-09-16,273.1008,246.88800000000003,0.9040178571428573,4,4,90,548.64
3MB5,SFT-BFT,3,2025-09-23,273.1008,260.9088,0.9553571428571428,4,4,47,365.76
3MB5,SFT-BFT,3,2025-10-07,273.1008,270.6624,0.9910714285714286,4,4,182,1432.5600000000002
