Container_Type,Train_Number,Leg_ID,Date,Num_Containers
40,5MB4,2,2025-04-17,8
40,5MB4,2,2025-08-07,4522
40,5MB4,2,2025-11-06,2
40,5MB4,2,2025-11-13,8
40,5MB4,2,2025-11-20,2
40,5MB4,2,2025-12-04,11
40,5MB4,2,2025-12-11,4
40,5MB4,2,2025-12-18,3
40,6BM4,1,2025-01-17,14
40,6BM4,1,2025-01-24,10
40,6BM4,1,2025-01-31,14
40,6BM4,1,2025-02-07,29
40,6BM4,1,2025-02-14,75
40,6BM4,1,2025-02-21,60
40,6BM4,1,2025-02-28,58
40,6BM4,1,2025-03-07,45
40,6BM4,1,2025-03-14,89
40,6BM4,1,2025-03-21,36
40,6BM4,1,2025-03-28,38
40,6BM4,1,2025-04-11,177
40,6BM4,1,2025-05-16,10
40,6BM4,1,2025-05-23,9
40,6BM4,1,2025-05-30,3
40,6BM4,1,2025-06-27,8
40,6BM4,1,2025-07-11,15
40,6BM4,1,2025-07-18,5
40,6BM4,1,2025-07-25,6
40,6BM4,1,2025-08-22,10
40,6BM4,1,2025-08-29,12
40,6BM4,1,2025-09-12,6
40,6BM4,1,2025-09-26,23
40,6BM4,1,2025-10-10,46
40,6BM4,1,2025-10-24,10
40,6BM4,1,2025-11-14,26
40,6BM4,1,2025-11-28,10
40,6BM4,1,2025-12-12,14
40,6BM4,1,2025-12-19,8
40,6BM4,1,2025-12-26,6
40,6BM4,2,2025-01-17,14
40,6BM4,2,2025-01-24,10
40,6BM4,2,2025-01-31,14
40,6BM4,2,2025-02-07,29
40,6BM4,2,2025-02-14,75
40,6BM4,2,2025-02-21,60
40,6BM4,2,2025-02-28,58
40,6BM4,2,2025-03-07,45
40,6BM4,2,2025-03-14,89
40,6BM4,2,2025-03-21,36
40,6BM4,2,2025-03-28,38
40,6BM4,2,2025-04-11,177
40,6BM4,2,2025-05-16,10
40,6BM4,2,2025-05-23,9
40,6BM4,2,2025-05-30,3
40,6BM4,2,2025-06-27,8
40,6BM4,2,2025-07-11,15
40,6BM4,2,2025-07-18,5
40,6BM4,2,2025-07-25,6
40,6BM4,2,2025-08-22,10
40,6BM4,2,2025-08-29,12
40,6BM4,2,2025-09-12,6
40,6BM4,2,2025-09-26,23
40,6BM4,2,2025-10-10,46
40,6BM4,2,2025-10-24,10
40,6BM4,2,2025-11-14,26
40,6BM4,2,2025-11-28,10
40,6BM4,2,2025-12-12,14
40,6BM4,2,2025-12-19,8
40,6BM4,2,2025-12-26,6
40,6BM4,3,2025-01-17,14
40,6BM4,3,2025-01-24,10
40,6BM4,3,2025-01-31,14
40,6BM4,3,2025-02-07,29
40,6BM4,3,2025-02-14,75
40,6BM4,3,2025-02-21,60
40,6BM4,3,2025-02-28,58
40,6BM4,3,2025-03-07,45
40,6BM4,3,2025-03-14,89
40,6BM4,3,2025-03-21,36
40,6BM4,3,2025-03-28,38
40,6BM4,3,2025-04-11,177
40,6BM4,3,2025-05-16,10
40,6BM4,3,2025-05-23,9
40,6BM4,3,2025-05-30,3
40,6BM4,3,2025-06-27,8
40,6BM4,3,2025-07-11,15
40,6BM4,3,2025-07-18,5
40,6BM4,3,2025-07-25,6
40,6BM4,3,2025-08-22,10
40,6BM4,3,2025-08-29,12
40,6BM4,3,2025-09-12,6
40,6BM4,3,2025-09-26,23
40,6BM4,3,2025-10-10,46
40,6BM4,3,2025-10-24,10
40,6BM4,3,2025-11-14,26
40,6BM4,3,2025-11-28,10
40,6BM4,3,2025-12-12,14
40,6BM4,3,2025-12-19,8
40,6BM4,3,2025-12-26,6
40,6MB4,1,2025-01-17,16
40,6MB4,1,2025-01-24,7
40,6MB4,1,2025-02-14,2
40,6MB4,1,2025-04-11,5
40,6MB4,1,2025-04-18,9
40,6MB4,1,2025-04-25,16
40,6MB4,1,2025-05-23,8
40,6MB4,1,2025-05-30,6
40,6MB4,1,2025-06-27,2
40,6MB4,1,2025-07-11,5
40,6MB4,1,2025-07-25,7
40,6MB4,1,2025-08-22,2
40,6MB4,1,2025-08-29,7
40,6MB4,1,2025-10-10,37
40,6MB4,1,2025-11-28,13
40,6MB4,1,2025-12-12,14
40,6MB4,1,2025-12-19,13
40,6MB4,1,2025-12-26,16
40,6MB4,2,2025-01-17,16
40,6MB4,2,2025-01-24,7
40,6MB4,2,2025-02-14,2
40,6MB4,2,2025-04-11,5
40,6MB4,2,2025-04-18,9
40,6MB4,2,2025-04-25,16
40,6MB4,2,2025-05-23,8
40,6MB4,2,2025-05-30,6
40,6MB4,2,2025-06-27,2
40,6MB4,2,2025-07-11,5
40,6MB4,2,2025-07-25,7
40,6MB4,2,2025-08-22,2
40,6MB4,2,2025-08-29,7
40,6MB4,2,2025-10-10,37
40,6MB4,2,2025-11-28,13
40,6MB4,2,2025-12-12,14
40,6MB4,2,2025-12-19,13
40,6MB4,2,2025-12-26,16
40,7BM4,1,2025-01-18,39
40,7BM4,1,2025-01-25,10
