TRAIN_ID,TRAIN,TERMINAL,ARR_TIME,DEP_TIME,LEG_NUM,CORRIDOR
6PM7,6pm7PFT,PFT,,10/01/2025 22:20,1,MEL-PER
6PM7,6pm7SCJ,SCJ,6/01/2025 9:00,5/01/2025 9:40,2,MEL-PER
6PM7,6pm7AFT,AFT,5/01/2025 14:00,5/01/2025 15:00,3,MEL-PER
6PM7,6pm7TLB,TLB,5/01/2025 17:24,5/01/2025 17:24,4,MEL-PER
6PM7,1bm2MFT,MFT,6/01/2025 2:30,,5,MEL-PER
6SM2,6sm2SFT,SFT,,10/01/2025 16:00,1,MEL-SYD
6SM2,6sm2ETT,ETT,11/01/2025 2:07,11/01/2025 3:07,2,MEL-SYD
6SM2,1bm2MFT,MFT,11/01/2025 7:07,,3,MEL-SYD
6SM5,6SM5SFT,SFT,,10/01/2025 15:00,1,MEL-SYD
6SM5,6SM5SFT,ETT,10/01/2025 16:20,10/01/2025 16:50,2,MEL-SYD
6SM5,1bm2MFT,MFT,11/01/2025 2:00,,3,MEL-SYD
7AM5,7am5AFT,AFT,,11/01/2025 20:15,1,MEL-ADL
7AM5,7am5TLB,TLB,11/01/2025 22:52,11/01/2025 23:22,2,MEL-ADL
7AM5,1bm2MFT,MFT,6/01/2025 9:30,,3,MEL-ADL
7BM2,7bm2BFT,BFT,,11/01/2025 22:00,1,MEL-BRI
7BM2,7bm2MOR,MOR,6/01/2025 13:03,5/01/2025 16:19,2,MEL-BRI
7BM2,7bm2SFT,SFT,5/01/2025 20:46,5/01/2025 22:30,3,MEL-BRI
7BM2,7bm2ETT,ETT,6/01/2025 8:44,6/01/2025 9:29,4,MEL-BRI
7BM2,7BM2GFN,GFN,6/01/2025 14:25,5/01/2025 4:06,5,MEL-BRI
7BM2,1bm2MOR,MOR,5/01/2025 13:03,,6,MEL-BRI
7BM4,7bm4BFT,BFT,,11/01/2025 19:20,1,MEL-BRI
7BM4,7BM4SFT,SFT,6/01/2025 13:17,5/01/2025 14:25,2,MEL-BRI
7BM4,7bm4ETT,ETT,6/01/2025 0:15,6/01/2025 0:45,3,MEL-BRI
7BM4,1bm2MFT,MFT,6/01/2025 5:25,,4,MEL-BRI
7MA8,7MA8SPG,SPG,,11/01/2025 8:05,1,MEL-ADL
7MA8,1bm2KWK,KWK,11/01/2025 18:00,,2,MEL-ADL
7MB4,7mb4MFT,MFT,,11/01/2025 22:00,1,MEL-BRI
7MB4,7MB4ETT,ETT,6/01/2025 2:10,5/01/2025 2:40,2,MEL-BRI
7MB4,7mb4SFT,SFT,5/01/2025 12:02,5/01/2025 12:51,3,MEL-BRI
7MB4,1bm2BFT,BFT,6/01/2025 6:05,,4,MEL-BRI
7MP5,7MP5MFT,MFT,,11/01/2025 18:45,1,MEL-PER
7MP5,7MP5TLB,TLB,6/01/2025 2:56,5/01/2025 3:28,2,MEL-PER
7MP5,7MP5AFT,AFT,5/01/2025 6:30,5/01/2025 12:55,3,MEL-PER
7MP5,7mp5SCJ,SCJ,6/01/2025 17:34,5/01/2025 18:50,4,MEL-PER
7MP5,7mp5WEK,WEK,6/01/2025 17:30,6/01/2025 18:10,5,MEL-PER
7MP5,1bm2PFT,PFT,7/01/2025 4:15,,6,MEL-PER
7MP7,7mp7MFT,MFT,,11/01/2025 1:10,1,MEL-PER
7MP7,7mp7TLB,TLB,11/01/2025 8:55,11/01/2025 8:55,2,MEL-PER
7MP7,7mp7AFT,AFT,11/01/2025 11:24,11/01/2025 12:30,3,MEL-PER
7MP7,7mp7SCJ,SCJ,11/01/2025 16:05,11/01/2025 16:45,4,MEL-PER
7MP7,1bm2PFT,PFT,6/01/2025 22:15,,5,MEL-PER
7MS4,7ms4MFT,MFT,,11/01/2025 13:00,1,MEL-SYD
7MS4,7ms4ETT,ETT,11/01/2025 16:20,11/01/2025 16:50,2,MEL-SYD
7MS4,1bm2SFT,SFT,6/01/2025 2:19,,3,MEL-SYD
7PM5,7pm5PFT,PFT,,11/01/2025 15:35,1,MEL-PER
7PM5,7pm5SCJ,SCJ,7/01/2025 8:45,6/01/2025 12:00,2,MEL-PER
7PM5,7pm5AFT,AFT,6/01/2025 17:45,7/01/2025 8:25,3,MEL-PER
7PM5,7pm5TLB,TLB,7/01/2025 11:43,7/01/2025 12:13,4,MEL-PER
7PM5,1bm2MFT,MFT,8/01/2025 2:45,,5,MEL-PER
7PM6,7pm6PFT,PFT,,11/01/2025 5:50,1,MEL-PER
7PM6,7pm6SCJ,SCJ,7/01/2025 0:50,6/01/2025 6:10,2,MEL-PER
7PM6,7pm61500,AFT,6/01/2025 11:45,6/01/2025 21:00,3,MEL-PER
7PM6,7pm6TLB,TLB,6/01/2025 23:37,6/01/2025 23:57,4,MEL-PER
7PM6,1bm2MFT,MFT,7/01/2025 15:00,,5,MEL-PER
7SM2,7sm2SFT,SFT,,11/01/2025 23:50,1,MEL-SYD
7SM2,7sm2ETT,ETT,6/01/2025 9:30,5/01/2025 10:02,2,MEL-SYD
7SM2,1bm2MFT,MFT,5/01/2025 14:53,,3,MEL-SYD
7SM5,7SM5SFT,SFT,,11/01/2025 23:45,1,MEL-SYD
7SM5,7sm5ETT,ETT,6/01/2025 9:35,5/01/2025 10:05,2,MEL-SYD
7SM5,1bm2MFT,MFT,5/01/2025 15:00,,3,MEL-SYD
